12,18,42
50,18,42
38,44,4
28,18,42
10,20,9
31,20,1
33,18,42
6,18,42
10,3,1
19,18,42
30,18,42
49,18,42
31,3,1
48,22,1
2,18,42
10,44,1
14,18,42
15,18,42
41,20,1
17,18,42
51,18,42
36,18,42
54,4,1
23,4,1
54,25,1
9,18,42
7,18,42
35,18,42
58,18,42
56,18,42
34,18,42
26,18,42
23,25,1
46,18,42
41,44,1
48,3,1
1,18,42
37,18,42
42,18,42
55,18,42
5,18,42
10,25,1
40,18,42
38,4,15
48,44,29
23,22,1
48,4,2
54,3,1
45,18,42
8,18,42
11,18,42
16,18,42
0,18,42
23,44,1
53,18,42
31,4,1
54,22,1
54,47,5
54,20,11
21,18,42
41,4,1
57,43,3
27,18,42
41,3,1
13,18,42
23,20,1
31,44,1
10,22,1
41,25,1
10,47,19
39,18,42
52,18,42
24,43,3
48,47,21
38,20,5
31,22,1
32,18,42
29,18,42
48,25,1
